Name	Edot [erg/s]	Size [pc]	Distance [kpc]	Age [kyr]	Total_E [erg]	Volume [cm^3]	Edens [eV/cm^]	mean_edens [eV/cm^]	min_edens [eV/cm^]	max_edens [eV/cm^]
G0.9+0.1	4.265795188015952e+37	7.0	13.3	5.31	7.143336815316293e+48	3.879238608652676e+58	114.94190716123724	30.55555	11.9714	65.3691
3C58	2.691534803926914e+37	5.0	2.0	5.37	4.5580689726655225e+48	1.413716694115407e+58	201.25295715759293	1.337095	0.36205	2.72292
CTA	4.466835921509617e+35	9.96330842398098	1.4	13.9	1.9580393129281095e+47	1.1185698188978386e+59	1.092652526897253	0.36497358782236294	0.12720911898024068	0.8823973526923559
J1616-508	1.5848931924611239e+37	42.26858119264658	6.82	8.13	4.0634708866290113e+48	8.540934365850431e+60	0.29697201954569463	0.4214980547482448	0.1778927760009316	0.9583356330323725
J1023-575	1.0964781961431829e+37	35.02253870247859	8.0	4.6	1.590612674104285e+48	4.858422116588363e+60	0.2043586183641639	1.0802727137421846	0.3095900554789898	2.0394125724250727
J1809-193	6.456542290346589e+36	52.83572649080823	5.0	23.3	4.744194961673022e+48	1.6681512433301618e+61	0.1775214631716815	0.07506525948325202	0.029952076275590694	0.16141390173789552
J1857+026	4.5708818961487146e+36	61.89327960351821	9.01	20.6	2.969435028425085e+48	2.68153123828707e+61	0.06912175097117068	0.16152097033353646	0.050895856318839035	0.3175838646558022
J1640-465	4.3651583224016654e+36	37.73980463629159	12.8	3.35	4.611597700651174e+47	6.079268379483096e+60	0.047350422864391103	1.4184210158602992	0.4383746815769877	2.795266472428639
J1641-462	4.3651583224016654e+36	14.0	12.8	3.35	4.611597700651174e+47	3.103390886922141e+59	0.9275529218303983	2.1449483333333332	0.69517	3.96699
J1708-443	3.388441561392034e+36	19.171820755236126	2.6	17.5	1.870013128901036e+48	7.9697088006212635e+59	1.4646233937293105	0.2719164440118818	0.10719843448090388	0.6916883204512185
J1908+063	2.818382931264472e+36	41.06090744428525	3.21	19.5	1.7331702203469498e+48	7.82957164583989e+60	0.13817420677354503	0.12738013804929613	0.0514946652971748	0.3014305564392399
J1018-589A	2.5703957827688437e+36	4.0	8.0	21.0	1.7022600295133633e+48	7.238229473870883e+57	146.79704674436184	75.57193333333333	24.7034	169.305
J1018-589B	2.5703957827688437e+36	31.701435894484938	8.0	21.0	1.7022600295133633e+48	3.603206685593151e+60	0.2948903027602279	0.3999947080626196	0.13586859444850394	0.9657277263911485
J1804-216	2.1877616239495696e+36	28.68225152358161	4.4	15.8	1.0900933590514033e+48	2.6686529161519722e+60	0.2549736875116123	0.49581238064215993	0.1476994320301862	1.076987015933873
J1809-193	1.819700858609975e+36	37.73980463629159	3.55	51.3	2.94390622601647e+48	6.079268379483096e+60	0.30227095623564587	0.1202293123856749	0.04689895173043287	0.25854304349571655
J1616-508	1.5848931924611239e+37	48.306949934453236	6.46	8.1	4.048476529113774e+48	1.274914984056974e+61	0.19821392650287395	0.38004942745654774	0.16050406091158925	0.8636976528980164
J1718-385	1.2882495516931323e+36	10.869063735251979	3.6	89.5	3.636048288666419e+48	1.4522078490273972e+59	15.628763770321422	0.6032443312456833	0.20931862000475643	1.8647492953315734
J1026-582	8.317637711026742e+35	8.000838582893817	2.33	90.0	2.3607452056944538e+48	5.792404726606752e+58	25.4398169144806	1.0751871976858818	0.3073314410315777	3.4776558126774493
